ElapsedTime(s)	57	EstimatedLatency(ms)	N/A	Trials	64
ElapsedTime(s)	91	EstimatedLatency(ms)	N/A	Trials	124
ElapsedTime(s)	383	EstimatedLatency(ms)	N/A	Trials	188
ElapsedTime(s)	707	EstimatedLatency(ms)	N/A	Trials	252
ElapsedTime(s)	1028	EstimatedLatency(ms)	N/A	Trials	316
ElapsedTime(s)	1064	EstimatedLatency(ms)	N/A	Trials	376
ElapsedTime(s)	1172	EstimatedLatency(ms)	N/A	Trials	440
ElapsedTime(s)	1374	EstimatedLatency(ms)	N/A	Trials	504
ElapsedTime(s)	1710	EstimatedLatency(ms)	N/A	Trials	568
ElapsedTime(s)	1744	EstimatedLatency(ms)	N/A	Trials	628
ElapsedTime(s)	2039	EstimatedLatency(ms)	N/A	Trials	692
ElapsedTime(s)	2085	EstimatedLatency(ms)	N/A	Trials	756
ElapsedTime(s)	2386	EstimatedLatency(ms)	N/A	Trials	820
ElapsedTime(s)	2696	EstimatedLatency(ms)	N/A	Trials	884
ElapsedTime(s)	2736	EstimatedLatency(ms)	N/A	Trials	944
ElapsedTime(s)	3016	EstimatedLatency(ms)	N/A	Trials	1008
ElapsedTime(s)	3051	EstimatedLatency(ms)	N/A	Trials	1068
ElapsedTime(s)	3348	EstimatedLatency(ms)	2.449	Trials	1132
ElapsedTime(s)	3573	EstimatedLatency(ms)	2.441	Trials	1196
ElapsedTime(s)	3886	EstimatedLatency(ms)	2.405	Trials	1260
ElapsedTime(s)	4188	EstimatedLatency(ms)	2.316	Trials	1324
ElapsedTime(s)	4510	EstimatedLatency(ms)	2.226	Trials	1388
ElapsedTime(s)	4708	EstimatedLatency(ms)	2.116	Trials	1452
ElapsedTime(s)	4984	EstimatedLatency(ms)	2.090	Trials	1516
ElapsedTime(s)	5316	EstimatedLatency(ms)	2.066	Trials	1580
ElapsedTime(s)	5664	EstimatedLatency(ms)	2.048	Trials	1644
ElapsedTime(s)	5858	EstimatedLatency(ms)	2.046	Trials	1708
ElapsedTime(s)	6179	EstimatedLatency(ms)	2.005	Trials	1772
ElapsedTime(s)	6466	EstimatedLatency(ms)	1.966	Trials	1836
ElapsedTime(s)	6659	EstimatedLatency(ms)	1.966	Trials	1900
ElapsedTime(s)	6985	EstimatedLatency(ms)	1.926	Trials	1964
ElapsedTime(s)	7315	EstimatedLatency(ms)	1.923	Trials	2028
